iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
105,0.106877,0.115349,0.192238,0.319094,0.104623,0.15308,0.276481,0.44203,0.32252,0.226879,0.111115
106,0.106877,0.097669,0.192238,0.319094,0.104623,0.15308,0.276481,0.44203,0.32252,0.226879,0.111115
107,0.106877,0.097669,0.192238,0.319094,0.104623,0.15308,0.276481,0.44203,0.32252,0.226879,0.094887
108,0.106877,0.097669,0.192238,0.319094,0.191018,0.15308,0.276481,0.44203,0.32252,0.226879,0.094887
109,0.106877,0.097669,0.192238,0.319094,0.240725,0.15308,0.276481,0.44203,0.32252,0.226879,0.094887
110,0.106877,0.097669,0.192238,0.319094,0.229912,0.15308,0.276481,0.44203,0.32252,0.226879,0.094887
111,0.106877,0.097669,0.192238,0.319094,0.229912,0.15308,0.245469,0.44203,0.32252,0.226879,0.094887
112,0.106877,0.097669,0.192238,0.319094,0.229912,0.187121,0.245469,0.44203,0.32252,0.226879,0.094887
113,0.106877,0.097669,0.192238,0.319094,0.229912,0.187121,0.245469,0.408701,0.32252,0.226879,0.094887
114,0.106877,0.097669,0.181039,0.319094,0.229912,0.187121,0.245469,0.408701,0.32252,0.226879,0.094887
115,0.106877,0.097669,0.181039,0.319094,0.229912,0.168842,0.245469,0.408701,0.32252,0.226879,0.094887
116,0.106877,0.097669,0.181039,0.319094,0.229912,0.168842,0.245469,0.408701,0.305956,0.226879,0.094887
117,0.106877,0.097669,0.181039,0.305601,0.229912,0.168842,0.245469,0.408701,0.305956,0.226879,0.094887
118,0.106877,0.097669,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.226879,0.094887
119,0.106877,0.097669,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.217864,0.094887
120,0.095002,0.097669,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.217864,0.094887
121,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.217864,0.094887
122,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.217864,0.176694
123,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.217864,0.232433
124,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.245469,0.408701,0.305956,0.217864,0.211303
125,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.245469,0.408709,0.305956,0.217864,0.211303
126,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.249564,0.408709,0.305956,0.217864,0.211303
127,0.095002,0.086398,0.181039,0.305601,0.210116,0.168842,0.249564,0.408709,0.293057,0.217864,0.211303
128,0.095002,0.086398,0.181039,0.329896,0.210116,0.168842,0.249564,0.408709,0.293057,0.217864,0.211303
129,0.095002,0.086398,0.178456,0.329896,0.210116,0.168842,0.249564,0.408709,0.293057,0.217864,0.211303
130,0.095002,0.086398,0.178456,0.329896,0.210116,0.168842,0.249564,0.429167,0.293057,0.217864,0.211303
131,0.095002,0.086398,0.178456,0.329896,0.210116,0.168842,0.249564,0.409493,0.293057,0.217864,0.211303
132,0.095002,0.086398,0.178456,0.308411,0.210116,0.168842,0.249564,0.409493,0.293057,0.217864,0.211303
133,0.095002,0.086398,0.178456,0.308411,0.210116,0.168842,0.249564,0.409493,0.293057,0.198233,0.211303
